"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
170431,"Copenhagen Municipality, Denmark","Capital Region of Denmark, Denmark",Denmark,55.66056,12.58967,land,,2021-05-17,,1,,1,0.83,0.01,0.00,,,,1,1,,,,1,,,,,,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
173823,"Rudersdal Municipality, Denmark","Capital Region of Denmark, Denmark",Denmark,55.82698,12.44194,land,,2021-06-20,"DLG (Danish Litter Gang)",2,,2,4.53,0.02,0.00,,2,,,1,3,1,7,7,24,,,5,3,4,11,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,1,114
178298,"Aarhus Municipality, Denmark","Central Denmark Region, Denmark",Denmark,56.1955231,10.2419301,land,,2021-08-09,,1,,1,1.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232098,"Kalundborg Municipality, Denmark","Region Zealand, Denmark",Denmark,55.51677868,11.11782427,land,,2022-05-22,,1,,1,69.71,3.21,0.00,,,7,1,3,7,2,1,6,1,1,2,,,1,4,,1,,9,,,2,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,54
273170,"Roskilde Municipality, Denmark","Region Zealand, Denmark",Denmark,55.691675614144,12.097259646271,land,,2023-03-26,"Foreningen Affaldsimperiet",15,,15,0.01,0.14,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273186,"Roskilde Municipality, Denmark","Region Zealand, Denmark",Denmark,55.641192259103,12.048995462271,land,,2023-03-30,"Foreningen Affaldsimperiet",14,,14,193.34,0.62,0.00,,3,9,1,1,2,2,5,2,42,,1,1,1,,7,3,1,,13,8,,15,2,1,12,3,7,,,,,,,24,,12,50,,,,2,,,25,,,,,,,,,,,,,,255
274012,"Rudersdal Municipality, Denmark","Capital Region of Denmark, Denmark",Denmark,55.798126948118,12.47638475151,land,,2023-04-13,,1,,1,0.46,0.00,0.00,,,2,,1,1,,,,6,,,3,,,3,,2,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,22
274091,"Lyngby-Taarbæk Municipality, Denmark","Capital Region of Denmark, Denmark",Denmark,55.797595896234,12.479605605552,land,,2023-04-13,,1,,1,2.20,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274127,"Rudersdal Municipality, Denmark","Capital Region of Denmark, Denmark",Denmark,55.799792725645,12.475562319171,land,,2023-04-14,,1,,1,1.52,3.62,0.00,,5,3,1,1,,,,,,,1,1,,,5,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,22
279016,"Rudersdal Municipality, Denmark","Capital Region of Denmark, Denmark",Denmark,55.803270558448,12.48036928738,land,,2023-04-21,,1,,1,0.01,0.38,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
