"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
160727,"Loire-Atlantique, France","Pays de la Loire, France",France,47.26859,-2.21924,land,,2021-03-08,,1,,1,0.14,0.01,0.00,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
163568,"Rhône, France","Auvergne-Rhône-Alpes, France",France,45.75218,4.85215,land,,2021-03-31,,1,,1,0.16,0.01,0.00,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4
170177,"Finistere, France","Brittany, France",France,48.52067,-4.0684,land,,2021-05-11,Mowi,1,,1,0.85,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171225,"Gironde, France","Nouvelle-Aquitaine, France",France,44.66298,-1.18428,land,,2021-05-25,,1,,1,0.01,0.12,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171799,,,France,44.66296,-1.1841,land,,2021-05-31,,1,,1,0.17,0.82,0.00,,,,,,,,,,3,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
173598,"Bouches-du-Rhone, France","Provence-Alpes-Côte d'Azur, France",France,43.3015,5.44482,watercraft,,2021-06-18,,1,,1,0.04,0.01,0.00,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
177950,"Landes, France","Nouvelle-Aquitaine, France",France,44.44382,-1.25527,land,,2021-08-04,,2,,2,3.06,0.01,0.00,,1,,2,4,2,1,,4,22,,,,,5,4,,2,3,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,6,71
178444,"Hauts-de-Seine, France","Île-de-France, France",France,48.89968,2.30428,land,,2021-08-11,,1,,1,0.02,0.00,0.00,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
178868,"Seine-Saint-Denis, France","Île-de-France, France",France,48.93136,2.35373,land,,2021-08-17,"EMEA Sales engineers",1,,1,6.63,0.03,0.00,,4,,2,8,,5,,3,6,,,2,3,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,2,,,5,74
178870,"Pas-de-Calais, France","Hauts-de-France, France",France,50.5198711,1.5862563,land,,2021-08-17,"Equinix Community Cleanup",1,,1,15.00,0.00,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178919,"Paris, France","Île-de-France, France",France,48.85476,2.29415,land,,2021-08-18,"Equinix Community Cleanup",1,,1,12.18,0.04,0.00,,20,,9,20,,2,,3,10,,,,2,,13,,,,,,,5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,15,116
178993,"Val-d'Oise, France","Île-de-France, France",France,49.09483,2.50099,land,,2021-08-16,2,13,,13,"1,151.39",0.03,0.00,,50,,50,50,50,50,50,50,50,,,50,40,50,50,50,50,50,,,,50,50,,,,50,50,,50,,,,,50,,,,,,50,,,,,,,,,,,,,50,,,50,1390
179630,"Moselle, France","Grand Est, France",France,49.16646,6.94553,land,,2021-08-25,,1,,1,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180758,"Val-d'Oise, France","Île-de-France, France",France,48.98062,2.33855,land,,2021-09-02,Equinix,1,,1,0.01,0.61,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181330,"Haute-Savoie, France","Auvergne-Rhône-Alpes, France",France,46.01308,6.17571,land,,2021-09-08,,1,,1,0.10,0.03,0.00,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
181453,"Var, France","Provence-Alpes-Côte d'Azur, France",France,43.42817,6.76569,land,,2021-09-08,,1,,1,20.08,0.01,0.00,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
181676,"Val-d'Oise, France","Île-de-France, France",France,48.98078,2.33846,land,,2021-09-09,Equinix,2,,2,6.96,0.00,0.00,,27,,,29,37,,,,23,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,19,,,12,216
182412,"Meuse, France","Grand Est, France",France,49.21715,5.64687,land,,2021-09-08,,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182662,"Paris, France","Île-de-France, France",France,48.87421,2.3392,land,,2021-09-09,"D Les Essentiels",1,,1,0.01,0.00,0.00,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
182743,"Ardennes, France","Grand Est, France",France,49.84098,4.60092,land,,2021-09-13,Bouteille,1,,1,0.05,0.00,0.00,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
182833,"Yvelines, France","Île-de-France, France",France,48.72119,2.0803,land,,2021-09-13,,1,,1,0.41,0.34,0.00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,7
