"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
164727,"Haapsalu City, Lääne County, Estonia","Lääne County, Estonia",Estonia,58.78309,23.53464,land,,2021-04-10,"Oracle - EMEA",2,,2,9.00,0.53,0.00,,11,,5,1,2,,,,1,,,,3,18,21,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,76
254502,"Vormsi Parish, Lääne County, Estonia","Lääne County, Estonia",Estonia,58.972991,23.314868,land,saltwater,2022-06-06,"Stda land - Sviby",16,,16,15.00,0.10,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254518,"Vormsi Parish, Lääne County, Estonia","Lääne County, Estonia",Estonia,58.973602,23.314288,land,saltwater,2022-05-03,"Stda land - Cykelbanan mellan S-market och Svibybron",1,,1,1.00,0.10,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353855,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2024-03-11,,1,,1,4.40,0.00,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355949,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-02-02,,1,,1,2.20,0.00,0.00,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
357006,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-02-17,,1,,1,0.10,0.00,0.00,,1,,,,1,,1,3,20,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,29
359379,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-02-23,,1,,1,0.48,0.00,0.00,,,,,,1,2,3,5,42,,,,,,2,,,,,,,,,,,,1,,,1,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,61
363907,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-02-24,,1,,1,0.88,1.24,0.00,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
364405,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-01,,1,,1,12.52,0.00,0.00,,5,2,,,,9,5,5,113,2,,2,,,18,6,2,,2,,,2,,,,,8,,,,,,,2,,10,5,,,4,2,1,,10,,,,,,,,,,,,,,215
364614,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-04,,1,,1,10.83,0.00,0.00,,2,,,,1,3,4,4,74,,,2,,1,4,5,6,,2,,,2,,4,,,11,2,,,,,,,,5,1,,5,4,,,4,8,,,,,,,,,,,,,,154
364652,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-06,,1,,1,2.56,0.00,0.00,,2,,1,,1,5,4,28,253,,,,,,30,,25,4,,,,,,4,,,13,2,,,,,,,1,2,,,14,,1,1,,6,,,,,,,,,,,,,,397
364694,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-07,,1,,1,15.74,0.00,0.00,,1,4,1,1,,15,6,19,71,,2,1,,,14,17,54,2,5,,,2,,3,,1,14,5,,,,,,,4,7,,,4,1,2,1,,3,,,,,,,,,,,,,,260
365089,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-11,,1,,1,16.56,0.00,0.00,,2,,1,1,3,5,5,8,248,,2,4,,,,3,19,3,2,,,2,,2,,3,4,6,5,1,,,,1,2,6,2,2,5,6,5,1,,3,,,,,,,,,,,,,,362
365336,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-15,,1,,1,2.70,0.00,0.00,,2,2,,1,,5,3,6,86,,1,2,,,6,1,6,1,1,,,,,2,,,5,1,,1,,,,1,1,5,,,,,1,,,13,,,,,,,,,,,,,,153
365443,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-18,,1,,1,8.17,0.00,0.00,,2,,,2,1,2,3,3,155,,,2,,,42,2,18,2,3,,,1,,2,,,8,2,,,,,,,1,2,,1,4,,2,1,,9,,,,,,,,,,,,,,270
365733,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-23,,1,,1,25.32,0.00,0.00,,5,22,,,2,53,9,18,205,,,1,,1,42,4,7,1,16,2,,,,4,,,14,2,,,,,,2,1,5,,,12,5,4,,3,4,,,,,,,,,,,,,,444
365939,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-27,,1,,1,12.51,0.00,0.00,,5,3,,1,1,42,1,2,198,,1,2,,,79,2,8,1,4,2,,,,2,,,7,2,1,,,,1,2,,10,,,14,2,3,,,7,,,,,,,,,,,,,,403
365940,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-03-21,,1,,1,7.50,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367391,"Tallinn City, Tallinn, Estonia","Harju County, Estonia",Estonia,59.4369608,24.7535746,land,saltwater,2025-04-25,,1,,1,10.59,0.00,0.00,,4,2,,,1,2,5,5,159,,,4,,,14,2,4,1,,1,,,,2,,,3,8,2,,,,,,4,46,,2,5,,5,2,2,46,,,,,,,,,,,,,,331
Totals:,,,,,,,,,,,,,,,,,43,35,8,7,15,143,49,106,1625,2,6,23,3,20,273,44,149,15,35,5,0,11,1,25,0,4,89,30,9,3,0,0,1,10,14,100,8,5,64,22,26,7,9,109,0,0,0,0,0,0,0,0,0,0,0,0,3
