"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
149027,"Gdynia, Poland","Pomeranian Voivodeship, Poland",Poland,54.51197,18.54648,land,,2021-01-05,,1,,1,1.25,0.05,0.00,,,,2,,,,,1,25,,,,,1,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
149469,"Gdynia, Poland","Pomeranian Voivodeship, Poland",Poland,54.49865,18.5414,land,,2021-01-04,,1,,1,0.00,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163409,"Warszawa, Poland","Masovian Voivodeship, Poland",Poland,52.2347,21.05661,land,,2021-03-26,"Oracle - EMEA",1,,1,0.01,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167625,"Zgierz County, Poland","Łódź Voivodeship, Poland",Poland,51.919438,19.145136,land,,2021-04-24,,1,,1,22.50,0.00,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173571,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.57613,16.84797,land,,2021-06-18,Mowi,32,,32,0.02,0.03,0.00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
173572,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.57602,16.84799,land,,2021-06-18,Mowi,1,,1,0.15,0.00,0.00,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
173573,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.57608,16.84794,land,,2021-06-18,Mowi,1,,1,1.28,0.01,0.00,,,,2,1,,1,1,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
173574,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.576127,16.8478899,land,,2021-06-18,Mowi,32,,32,32.00,0.00,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173576,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.5761,16.84788,land,,2021-06-18,Mowi,2,,2,2.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173577,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.57604,16.84795,watercraft,,2021-06-18,Mowi,2,,2,0.58,0.00,0.00,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3
173578,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.57609,16.84791,watercraft,,2021-06-18,Mowi,2,,2,2.09,0.00,0.00,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
173660,"Gdynia, Poland","Pomeranian Voivodeship, Poland",Poland,54.46546,18.4577,land,,2021-06-15,Mowi,1,,1,0.02,0.03,0.00,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
174946,"Słupsk County, Slupsk, Poland","Pomeranian Voivodeship, Poland",Poland,54.45787,16.97263,land,,2021-06-27,MOWI,1,,1,0.12,0.00,0.00,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
175229,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.54355,16.85108,land,,2021-07-01,MOWI,1,,1,0.01,0.01,0.00,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
175349,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.57401,16.85229,land,,2021-07-02,Mowi,1,,1,10.64,0.04,0.00,,22,,8,24,3,,44,,59,,,9,1,7,35,,5,19,,,,,,,,,,,,,,,,,3,,,,,,22,,,,,,,,,,,,,2,,,7,273
176558,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.32846,16.83158,land,,2021-07-16,Mowi,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176786,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.5889,16.86341,land,,2021-07-22,Mowi,1,,1,0.02,0.00,0.00,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
176854,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.58662,16.84122,land,,2021-07-23,Mowi,1,,1,0.10,0.03,0.00,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5
176993,"słupski, Poland","Pomeranian Voivodeship, Poland",Poland,54.58685,16.84096,land,,2021-07-24,Mowi,1,,1,0.10,0.01,0.00,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
180002,"Wrocław County, Wrocław, Poland","Lower Silesian Voivodeship, Poland",Poland,51.1174813,16.9774226,land,,2021-08-26,,1,,1,1.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
