"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
164479,"Uppsala, Sweden","Uppsala County, Sweden",Sweden,59.85914,17.85006,land,,2021-04-05,,1,,1,771.27,0.01,0.00,,4,,10,12,8,10,1,2,11,,,3,1,2,3,10,7,3,,,,2,38,,,,2,2,,3,,,,,2,,,,,,4,,,,,,,,,,,,,2,,,4,154
169539,"Karlskrona Municipality, Sweden","Blekinge County, Sweden",Sweden,56.16648,15.56339,land,,2021-05-08,,2,,2,4.44,0.01,0.00,,,,4,11,1,,,5,13,,,6,3,1,11,,6,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,5,,,3,76
169540,"Karlskrona Municipality, Sweden","Blekinge County, Sweden",Sweden,56.20476,15.66322,land,,2021-05-08,,2,,2,5.86,0.02,0.00,,3,,9,6,8,,6,,8,,,5,,,9,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,1,62
170394,"Gotland, Sweden","Gotland County, Sweden",Sweden,56.9781051,18.3154919,land,,2021-05-17,,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171834,"Arjeplog Municipality, Sweden","Norrbotten County, Sweden",Sweden,65.6455,17.73081,land,,2021-05-31,,1,,1,0.67,0.26,0.00,,1,,1,,,1,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,22
176413,"Sorsele Municipality, Sweden","Västerbotten County, Sweden",Sweden,65.64167,17.72896,land,,2021-07-18,,2,,2,20.18,0.01,0.00,,,,,,3,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
184368,"Linköping Municipality, Sweden","Östergötland County, Sweden",Sweden,58.4037224,15.5792065,land,,2021-09-18,,4,,4,13.50,0.00,0.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184447,"Malmö Municipality, Sweden","Skåne County, Sweden",Sweden,55.5509017,13.0930498,land,,2021-09-18,"A Rocha",5,,5,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219567,"Stockholm Municipality, Sweden","Stockholm County, Sweden",Sweden,59.3108542,18.076222,land,,2022-02-02,,1,,1,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231118,"Värmdö, Sweden","Stockholm County, Sweden",Sweden,59.224208584928,18.549266863246,land,,2022-05-06,,1,,1,4.39,0.00,0.00,,1,,,1,4,1,,,,5,,1,1,,5,1,,,,2,,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,26
