"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
214967,,,Slovenia,45.530843309067,13.6018010468,land,,2021-09-18,"Čista obala / Clean Coast",84,20,104,200.62,5.97,0.00,,137,,28,77,91,,222,151,17222,,14,84,18,82,328,,113,41,,,,63,,,,,,42,,,,,,,1,,,2,,,56,1,28,,,56,,,128,49,,10,,,415,1601,632,21692
268162,"Komenda, 1218 Komenda, Slovenia","Kamnik, Slovenia",Slovenia,46.197991666667,14.548066666667,land,,2022-09-21,,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313128,"Municipality of Piran, Slovenia","Piran, Slovenia",Slovenia,45.531083814797,13.600874075103,land,saltwater,2023-09-16,"Čista obala - Clean Coast Slovenia",98,38,136,301.20,6.21,0.01,,127,13,22,44,79,,154,184,9197,73,54,46,5,242,243,13,33,24,180,,,108,24,,,13,19,40,136,4,5,23,,159,8,752,,1,30,1,87,1,15,,,,,,,,,,,,,,,12159
333427,"Municipality of Borovnica, 1353 Borovnica, Slovenia","Vrhnika, Slovenia",Slovenia,45.92222031,14.36545744,underwater,freshwater,2024-08-22,test,1,,1,2.46,0.00,0.00,,,,2,,2,2,,,,2,4,2,,1,1,,,1,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,22
333428,"Municipality of Borovnica, 1353 Borovnica, Slovenia","Vrhnika, Slovenia",Slovenia,45.92222031,14.36545744,underwater,freshwater,2024-08-22,test,1,,1,0.44,0.03,0.00,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
333674,"Municipality of Borovnica, 1353 Borovnica, Slovenia","Vrhnika, Slovenia",Slovenia,45.92222031,14.36545744,underwater,freshwater,2024-08-22,test,1,,1,2.25,0.00,0.00,,,,,,,,,7,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
345337,,,Slovenia,45.594146159405,13.723139011846,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Lazaret",5,2,7,33.95,0.16,0.00,3,40,,1,9,11,,19,13,829,,,4,,,68,,,,14,,,7,,,,,,5,7,,12,2,,6,,11,,,1,,,,2,284,,,,,,,,,,,,,,1345
345348,"Municipality of Ankaran, 6280 Ankaran, Slovenia","Koper, Slovenia",Slovenia,45.585096073117,13.711700455941,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Debeli rtič",6,,6,20.50,0.31,0.00,2,38,,3,9,4,,3,10,59,,,5,,11,9,,1,,28,,,10,,,,8,1,6,18,,1,19,,9,2,36,,,4,,,,,151,,,,,,,,,,,,,,445
345349,"Municipality of Ankaran, 6280 Ankaran, Slovenia","Koper, Slovenia",Slovenia,45.572506773361,13.742800989272,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Sv. Katarina",4,,4,17.64,0.31,0.00,2,,,1,,,,5,,698,,1,,,2,3,,4,,3,,,,,,,1,1,5,14,,,,,3,,7,,,,,1,,,92,,,,,,,,,,,,,,841
345350,,,Slovenia,45.570204680298,13.743209692155,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Sv. Katarina Plaža školjk",4,1,5,34.17,0.24,0.00,3,,,1,7,8,,1,4,185,4,5,,,,3,,4,,9,,,1,,,,,,,3,,,,,3,,,,,,,,,,142,,,,,,,,,,,,,,380
345351,"Koper, Slovenia","Koper, Slovenia",Slovenia,45.547569247529,13.703006577597,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Žusterna Molet",5,,5,1.10,0.47,0.00,,,,,3,3,,6,10,1000,,3,7,,7,9,,6,,3,,,5,1,,,,,4,13,,,1,,1,,,,,,,3,,,108,,,,,,,,,,,,,,1193
345352,,,Slovenia,45.54422821255,13.715169471596,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Žusterna Pasja plaža",7,4,11,22.93,0.22,0.00,3,3,,10,13,17,,79,9,3880,,6,9,,1,54,2,7,4,9,,,4,,,,,,8,9,,,1,,3,,15,,,4,,2,,,315,,,,,,,,,,,,,,4464
345353,"Municipality of Izola, Slovenia","Izola, Slovenia",Slovenia,45.533809959577,13.646646623906,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Simonov zaliv - Marina",5,2,7,22.05,0.31,0.00,2,1,1,,2,2,,2,6,1740,,,,,,5,,1,3,5,,,5,,,,,,1,2,1,,,,,,12,,,,,,,,86,,,,,,,,,,,,,,1875
345355,,,Slovenia,45.532140657543,13.64235260473,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Simonov zaliv - Belveder",5,5,10,22.05,0.31,0.00,2,,1,2,4,9,,25,11,1300,,1,6,,,5,,1,6,4,,,2,,,,,,,19,,,4,,2,1,11,,,5,,,,1,85,,,,,,,,,,,,,,1505
345356,,,Slovenia,45.530626997088,13.60719996824,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Strunjan - Stjuža",4,3,7,28.66,0.84,0.00,3,29,4,3,5,9,,71,15,3637,,4,9,,,88,,15,,13,,,25,3,,,,1,9,23,,,4,,13,,8,,1,3,,1,,2,270,,,,,,,,,,,,,,4265
345357,"Municipality of Piran, Slovenia","Piran, Slovenia",Slovenia,45.530377899788,13.601646816841,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Cavedin - KP Strunjan",2,,2,0.44,0.31,0.00,,1,,,,1,,14,5,620,1,1,1,,,30,,5,1,2,,,5,2,,,1,,1,17,,2,,,,,9,,,2,,,,,66,,,,,,,,,,,,,,787
345358,"Municipality of Piran, Slovenia","Piran, Slovenia",Slovenia,45.526225781429,13.595606534371,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Salinera - Pacug",3,2,5,11.02,0.50,0.00,1,,,,3,13,,3,4,102,,,,,,,,1,,18,,,11,,,,1,7,,17,,,1,,3,,14,,,,,1,,,165,,,,,,,,,,,,,,364
345361,"Municipality of Izola, Slovenia","Izola, Slovenia",Slovenia,45.536626749062,13.620975249891,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Bele skale",17,,17,115.52,0.47,0.00,10,21,11,,14,2,,14,42,63,10,5,20,7,10,240,,23,2,48,,,1,,,,,23,8,8,1,1,9,,4,4,115,,,26,,,3,7,1498,,,,,,,,,,,,,,2240
345362,"Municipality of Piran, Slovenia","Piran, Slovenia",Slovenia,45.523450434272,13.582437887812,land,freshwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Fiesa jezero",3,,3,22.05,0.43,0.00,2,16,,1,2,9,,10,7,841,,,6,27,73,25,,13,3,,,,,,,,,3,4,19,,2,,,5,,14,,,2,,,,,134,,,,,,,,,,,,,,1216
345363,,,Slovenia,45.526384043415,13.586187895152,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Fiesa - Pacug",4,,4,0.66,0.31,0.00,,4,,,3,,,8,13,578,,,1,,1,16,,6,9,4,,,4,1,,,,5,2,15,,,,,1,5,5,,2,,1,,,,70,,,,,,,,,,,,,,754
345365,"Municipality of Piran, Slovenia","Piran, Slovenia",Slovenia,45.52760142245,13.576002840107,land,saltwater,2024-09-14,"Čista obala - Clean Coast Slovenia - Fiesa - Piran",5,,5,39.68,0.47,0.00,4,11,,1,6,4,,15,12,535,,1,3,1,2,1,1,5,12,7,,,6,,,,,,3,18,,,2,,2,4,26,,1,3,,,,1,129,,,,,,,,,,,,,,812
345366,,,Slovenia,45.502055794244,13.587711994837,land,saltwater,2024-09-14,"Čista obala - Clean Coast - Seča Ribič",3,2,5,9.70,0.39,0.00,1,9,4,3,5,9,,71,15,3673,,1,4,,40,48,,15,,13,,,25,3,,,,1,8,23,,,4,,13,,28,,1,3,,1,,2,270,,,,,,,,,,,,,,4292
346282,"Ljubljana, Slovenia","Ljubljana, Slovenia",Slovenia,46.036506538421,14.569564703703,land,saltwater,2024-12-04,"cista obala",1,,1,6.04,0.00,0.00,,,1,,120,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
