"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
159686,"South Western Pirkanmaa, Finland","Pirkanmaa, Finland",Finland,61.3398148,22.9186327,land,,2021-03-03,"Oracle - EMEA",1,,1,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196184,"Helsinki, Finland","Uusimaa, Finland",Finland,60.26945,24.65145,land,,2021-10-06,EQUINIX/EWLN,2,,2,2.12,0.05,0.00,,4,,,1,5,,2,,3,,,,,1,13,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,48
258070,"Åboland-Turunmaa, Finland","Southwest Finland, Finland",Finland,60.014275,22.46015,land,saltwater,2022-04-16,"Lngholmen - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,,,,,,,,,,,,,,,,,,,,,35
258071,"Helsinki, Finland","Uusimaa, Finland",Finland,60.17101,24.870379,land,saltwater,2022-03-17,"Tlby eftis - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,30,,,,,,,,,,,,,,,,,,,,,83
258072,"Helsinki, Finland","Uusimaa, Finland",Finland,60.17101,24.87038,land,saltwater,2022-03-17,"Tlby eftis - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
258073,"Helsinki, Finland","Uusimaa, Finland",Finland,60.417829,25.042112,land,freshwater,2022-04-12,"k 5-6 Svenskbacka skola - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,10,,125,96,,,,,,,,,,,,,,,,,,,,,376
258074,"Helsinki, Finland","Uusimaa, Finland",Finland,60.417829,25.042113,land,freshwater,2022-04-12,"Svenskbacka skola - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,11,,203,83,,,,,,,,,,,,,,,,,,,,,438
258076,"Lahti sub-region, Finland","Päijänne Tavastia, Finland",Finland,61.170574,25.540544,land,freshwater,2022-05-31,"Rapala & Pid Saaristo Siistin ry - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,10,,268,264,,,,,,,,,,,,,,,,,,,,,723
258077,"Åboland-Turunmaa, Finland","Southwest Finland, Finland",Finland,60.223821,22.598328,land,saltwater,2022-05-16,"Kimitons gymnasium - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,21,27,,,,,,,,,,,,,,,,,,,,,51
258078,"Helsinki, Finland","Uusimaa, Finland",Finland,60.141342,24.705021,land,saltwater,2022-05-02,"Naispurjehtijat - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,216,,,,,,,,,,,,,,,,,,,,,1612
258079,"Helsinki, Finland","Uusimaa, Finland",Finland,60.206284,24.648167,land,freshwater,2022-05-23,"Bemble marthakrets - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,506,,,,,,,,,,,,,,,,,,,,,,,,,2,,402,421,,,,,,,,,,,,,,,,,,,,,1331
258080,"Helsinki, Finland","Uusimaa, Finland",Finland,60.141342,24.705021,land,saltwater,2022-05-11,"omat tyntekijt - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,571,,,,,,,,,,2,,,,,,,,,,,,,,,8,,400,170,,,,,,,,,,,,,,,,,,,,,1151
258081,"Helsinki, Finland","Uusimaa, Finland",Finland,60.141342,24.705022,land,saltwater,2022-06-07,"Attido Oy henkilkunta - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,86,20,,,,,,,,,,,,,,,,,,,,,152
258082,"Helsinki, Finland","Uusimaa, Finland",Finland,60.141342,24.705023,land,saltwater,2022-07-27,"Team S/y Vendatta - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,5,,26,9,,,,,,,,,,,,,,,,,,,,,85
258083,"Helsinki, Finland","Uusimaa, Finland",Finland,60.141342,24.705021,land,saltwater,2022-05-24,"Hangon koululaistapahtuma - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,82,57,,,,,,,,,,,,,,,,,,,,,265
258084,"Helsinki, Finland","Uusimaa, Finland",Finland,60.186165291134,24.904249202643,land,saltwater,2022-05-07,"WWF Suomi - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,576,,,,,,,,,,1,,,,,,,,,,,,,,,77,,77,159,,,,,,,,,,,,,,,,,,,,,890
258085,"Helsinki, Finland","Uusimaa, Finland",Finland,60.186165291134,24.904249202643,land,saltwater,2022-08-31,"Rapala - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,2246,,,,,,,,,,,,,,,,,,,,,,,,,111,,257,550,,,,,,,,,,,,,,,,,,,,,3164
258086,"Helsinki, Finland","Uusimaa, Finland",Finland,60.186165291134,24.904249202643,land,saltwater,2022-05-07,"Finnkino Oy - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,360,,,,,,,,,,10,,,,,,,,,,,,,,,53,,1005,474,,,,,,,,,,,,,,,,,,,,,1902
258087,"Helsinki, Finland","Uusimaa, Finland",Finland,60.186165291134,24.904249202643,land,saltwater,2022-05-10,"Kpyln peruskoulu 7D - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,528,,,,,,,,,,1,,,,,,,,,,,,,,,,,312,172,,,,,,,,,,,,,,,,,,,,,1013
258088,"Helsinki, Finland","Uusimaa, Finland",Finland,60.186165291134,24.904249202643,land,saltwater,2022-06-16,"Nylndska jaktklubben - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,16,41,,,,,,,,,,,,,,,,,,,,,231
258089,"Helsinki, Finland","Uusimaa, Finland",Finland,60.186165291134,24.904249202643,land,saltwater,2022-09-16,"PMI - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,9500,,,,,,,,,,,,,,,,,,,,,,,,,2605,,260,439,,,,,,,,,,,,,,,,,,,,,12804
258090,"Helsinki, Finland","Uusimaa, Finland",Finland,60.186165291134,24.904249202643,land,saltwater,2022-05-03,"Finlandia-talo, Ooppera, muut - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,1870,,,,,,,,,,,,,,,,,,,,,,,,,188,,1598,2649,,,,,,,,,,,,,,,,,,,,,6305
258091,"Porvoo sub-region, Finland","Uusimaa, Finland",Finland,60.399031,25.478314,land,freshwater,2022-05-20,"Hindhr skola k 3-6 - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,3,,158,114,,,,,,,,,,,,,,,,,,,,,349
258092,"Loviisa sub-region, Finland","Uusimaa, Finland",Finland,60.393748,25.997374,land,saltwater,2022-05-11,"Isns skola ja Isnsin koulu lk 4-6 - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,48,,,,,,,,,,3,,,,,,,,,,,,,,,5,,389,157,,,,,,,,,,,,,,,,,,,,,602
258093,"Jyväskylä, Finland","Central Finland, Finland",Finland,62.254833,25.729263,land,freshwater,2022-05-31,"Kaikki mukaan - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
258094,"Åbo, Finland","Southwest Finland, Finland",Finland,60.398226,22.392891,land,saltwater,2022-05-10,"Pallosalamat, Piikkin Tammipartio - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,36,,,,,,,,,,4,,,,,,,,,,,,,,,8,,85,116,,,,,,,,,,,,,,,,,,,,,249
258095,"Åboland-Turunmaa, Finland","Southwest Finland, Finland",Finland,59.92461,22.414019,land,saltwater,2022-05-16,"Kimitons gymnasium - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,18
258096,"Åboland-Turunmaa, Finland","Southwest Finland, Finland",Finland,60.170999,22.727649,land,freshwater,2022-05-03,"Kimito eftis - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,22,,,,,,,,,,,,,,,,,,,,,126
258097,"Åboland-Turunmaa, Finland","Southwest Finland, Finland",Finland,60.032917,22.565721,land,saltwater,2022-05-16,"Kimitons gymmasium - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,3,,,,,,,,,,,,,,,,,,,,,11
258098,"Åboland-Turunmaa, Finland","Southwest Finland, Finland",Finland,60.032917,22.565722,land,saltwater,2022-05-16,"Kimitons gymnasium - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,11
258099,"Åboland-Turunmaa, Finland","Southwest Finland, Finland",Finland,60.032917,22.565723,land,saltwater,2022-05-16,"Kimitons gymnasium - Keep the Archipelago Tidy Association",10,,10,20.00,0.10,0.00,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,1,,,,,,,,,,,,,,,,,,,,,16
