"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
117679,,,Ireland,51.866455026363,-7.9701469332998,land,saltwater,2024-09-22,Booterstown,10,,10,40.70,0.62,0.00,,5,21,29,25,39,,25,27,624,1,9,1,1,13,126,11,5,27,,,,9,1,1,,1,15,2,,,,,42,,,,,3,,,,,1,,,,,,25,11,,2,,,5,33,130,1316
148716,"Mayo, Co. Mayo, Ireland","Co. Mayo, Ireland",Ireland,53.76136,-9.81193,land,,2021-01-01,"Keep our beaches clean",1,,1,13.74,0.04,0.00,,3,,8,20,11,5,,11,37,,,2,3,7,18,8,2,,,,,6,,,,,15,,,2,,,,,,,,,,,6,,,,,,,,,,,,,10,,,17,206
149826,"Mayo, Co. Mayo, Ireland","Co. Mayo, Ireland",Ireland,53.76138,-9.81193,land,,2021-01-11,"Keep our beaches clean",1,,1,45.75,0.04,0.00,,3,,,3,,,1,2,18,,,,1,4,5,5,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,6,67
150945,"Mayo, Co. Mayo, Ireland","Co. Mayo, Ireland",Ireland,53.77336,-9.74326,land,,2021-01-22,"Keep our beaches clean",1,,1,25.78,0.01,0.00,,5,,3,2,13,,2,2,29,,,,3,,9,3,1,1,,,,1,1,,,,4,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,88
150961,"Mayo, Co. Mayo, Ireland","Co. Mayo, Ireland",Ireland,53.76122,-9.81191,land,,2021-01-22,"Keep our beaches clean",1,,1,52.82,0.00,0.00,,,,,,1,,,12,,,,,,,24,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,200
151541,"Mayo, Co. Mayo, Ireland","Co. Mayo, Ireland",Ireland,53.7734,-9.74328,land,,2021-01-29,"Keep our beaches clean",1,,1,20.55,0.02,0.00,,,,,1,,,,3,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,53
151542,"Mayo, Co. Mayo, Ireland","Co. Mayo, Ireland",Ireland,53.773288726807,-9.7431497573853,land,,2021-01-29,"Keep our beaches clean",1,,1,7.50,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151956,"Mayo, Co. Mayo, Ireland","Co. Mayo, Ireland",Ireland,53.77339553833,-9.7432832717896,land,,2021-02-01,"Keep our beaches clean",1,,1,15.00,0.00,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151959,"Mayo, Co. Mayo, Ireland","Co. Mayo, Ireland",Ireland,53.77338,-9.74328,land,,2021-02-01,"Keep our beaches clean",1,,1,6.80,0.04,0.00,,1,,6,14,14,,5,4,19,,,,3,4,14,10,6,1,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,6,,,5,133
152074,"Mayo, Co. Mayo, Ireland","Co. Mayo, Ireland",Ireland,53.77336,-9.74327,land,,2021-02-02,"Keep our beaches clean",1,,1,16.11,0.01,0.00,,,,1,1,3,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,63
