"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
155687,"Općina Medulin, Croatia","Istria County, Croatia",Croatia,44.8240246,13.8697751,land,,2021-02-28,"HP Adriatic",32,,32,157.50,0.00,0.00,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164227,"Zagreb, Croatia","City of Zagreb, Croatia",Croatia,45.82037,15.89004,land,,2021-04-06,"Oracle -EMEA",1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171347,"Općina Mali Lošinj, Croatia","Primorje-Gorski Kotar County, Croatia",Croatia,44.57492107801,14.407921024111,land,,2021-05-22,"BWI & SUB SEASON & IDEM I JA",35,17,52,176.37,0.06,0.00,,1,15,1,5,1,,1,133,7,,,10,2,4,19,15,70,5,,,,,,1,,,28,2,,,,,,,,,,,,,,5,,,,2,1,6,40,3,,4,,,37,18,190,626
171348,"Općina Mali Lošinj, Croatia","Primorje-Gorski Kotar County, Croatia",Croatia,44.57492107801,14.407921024111,land,,2021-05-22,"BWI & SUB SEASON & IDEM I JA",35,17,52,176.37,0.06,0.00,,1,15,1,5,1,,1,133,7,,,10,2,4,19,15,70,5,,,,,,1,,,28,2,,,,,,,,,,,,,,5,,,,2,1,6,40,3,,4,,,37,18,190,626
171350,"Općina Mali Lošinj, Croatia","Primorje-Gorski Kotar County, Croatia",Croatia,44.550106980334,14.430613948937,underwater,,2021-05-22,"BWI & SUB SEASON & IDEM I JA",13,,13,132.28,0.06,0.00,2,,15,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
171600,"Općina Mali Lošinj, Croatia","Primorje-Gorski Kotar County, Croatia",Croatia,44.52112,14.50051,land,,2021-05-25,,1,,1,0.06,0.00,0.00,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
172245,"Općina Mali Lošinj, Croatia","Primorje-Gorski Kotar County, Croatia",Croatia,44.50785,14.52105,land,,2021-06-05,"BWI g1",16,,16,64.20,0.00,0.00,,2,,4,4,1,,,72,,,,8,,4,12,6,16,3,,,,7,1,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,3,,,91,352
172650,"Općina Mali Lošinj, Croatia","Primorje-Gorski Kotar County, Croatia",Croatia,44.52118,14.50044,land,,2021-06-04,BWI,1,,1,1.29,0.00,0.00,,2,,1,2,,,,,2,,,2,2,2,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24
173454,"Općina Zadar, Croatia","Zadar County, Croatia",Croatia,44.11895,15.2391,land,,2021-06-13,,1,,1,0.08,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180565,"Općina Glina, Croatia","Sisak-Moslavina County, Croatia",Croatia,45.372686,16.0447982,land,,2021-09-01,,1,,1,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
