"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
159874,"Bucharest, Romania","Bucharest, Romania",Romania,44.45353,26.07724,land,,2021-03-01,"Oracle - EMEA",1,,1,0.01,0.00,0.00,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
162792,"Bucharest, Romania","Bucharest, Romania",Romania,44.41519,26.10141,land,,2021-03-26,"Oracle - EMEA",4,,4,0.10,0.02,0.00,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
162956,"Bucharest, Romania","Bucharest, Romania",Romania,44.53538,26.0927,land,,2021-03-26,"Oracle - EMEA",3,,3,0.01,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162977,"Bucharest, Romania","Bucharest, Romania",Romania,44.46211,26.10645,land,,2021-03-26,"Oracle - EMEA",2,,2,7.09,0.51,0.00,,11,,9,11,6,,,,4,,,2,1,4,4,1,,1,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,,62
163414,"Bucharest, Romania","Bucharest, Romania",Romania,44.40651,26.12601,land,,2021-03-26,"Oracle - EMEA",1,,1,3.62,2.56,0.00,,4,,4,5,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,5,53
164615,"Baicoi, Romania","Prahova, Romania",Romania,45.02884,25.84208,land,,2021-04-16,"Oracle - EMEA",2,,2,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167527,"Baicoi, Romania","Prahova, Romania",Romania,45.02887,25.84201,land,,2021-04-24,"Oracle - EMEA",2,,2,14.83,0.00,0.00,,20,,20,30,15,,20,30,,,,,5,10,17,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,10,189
173538,"Bucharest, Romania","Bucharest, Romania",Romania,44.47638,26.04731,land,,2021-06-18,ORACLE-EMEA-MKTG,1,,1,7.00,0.00,0.00,,,,,2,,1,2,,,,,1,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,14
173831,"Voluntari, Romania","Ilfov County, Romania",Romania,44.50215,26.16487,land,,2021-06-20,,1,,1,4.36,0.03,0.00,,6,,6,4,9,,,5,3,,,8,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,52
173832,"Voluntari, Romania","Ilfov County, Romania",Romania,44.4980582,26.1621261,land,,2021-06-20,,1,,1,3.00,0.00,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179954,"Pitesti, Romania","Argeș County, Romania",Romania,44.87599,24.84277,land,,2021-08-26,,1,,1,0.55,0.00,0.00,,2,,,2,,,3,,8,,,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,28
230219,"Stefanesti, Romania","Argeș County, Romania",Romania,44.8647137,24.908491,land,,2022-04-24,,1,,1,4.00,0.00,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230222,"Stefanesti, Romania","Argeș County, Romania",Romania,44.8647137,24.908491,land,,2022-04-24,,1,,1,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238800,"Bucharest, Romania","Bucharest, Romania",Romania,44.4267674,26.1025384,land,,2022-09-01,"Oracle Corp Ops RE&F",1,,1,11.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239020,"Bucharest, Romania","Bucharest, Romania",Romania,44.4267674,26.1025384,land,,2022-09-08,"Oracle Corp Ops RE&F",1,,1,15.43,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
