"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
149031,"Santa Cruz de Tenerife, Spain","Canary Islands, Spain",Spain,28.10102,-16.68607,land,,2021-01-05,AWdF,4,,4,10.82,0.03,0.00,,2,,3,1,1,,,3,31,,,,,1,10,1,,1,,,,6,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,52,137
149476,"Cádiz, Spain","Andalusia, Spain",Spain,36.208334,-6.0350969,land,,2021-01-08,,2,,2,19.00,0.00,0.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149983,"Santa Cruz de Tenerife, Spain","Canary Islands, Spain",Spain,28.15265,-16.43245,land,,2021-01-13,AWdF,5,,5,39.84,0.24,0.00,,2,,,6,1,2,,41,5,,,3,,5,82,15,27,1,,,,23,,,,,16,1,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,62,345
150102,"Santa Cruz de Tenerife, Spain","Canary Islands, Spain",Spain,28.12752,-16.78179,land,,2021-01-15,AWdF,4,,4,15.34,0.21,0.00,,4,,,,,1,5,,223,,,,,,9,,2,,,,,4,,,,,18,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,20,323
151033,"Almería, Spain","Andalusia, Spain",Spain,37.35446,-1.68492,land,,2021-01-19,,1,,1,8.11,0.01,0.00,,6,,,6,6,1,,4,1,,,3,4,7,4,3,1,,,,,2,,,,,4,1,,,,,,,4,,,,,,2,,,,,,,,,,,,,2,,,5,73
151144,"Castellón, Spain","Valencian Community, Spain",Spain,40.05347,0.06295,land,,2021-01-20,,9,,9,0.57,0.01,0.00,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5
151366,"Almería, Spain","Andalusia, Spain",Spain,37.354331970215,-1.6840314865112,land,,2021-01-27,"Monte mero",1,,1,45.00,0.00,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151537,"Santa Cruz de Tenerife, Spain","Canary Islands, Spain",Spain,28.03157,-16.55464,land,,2021-01-29,AWdF,2,,2,3.03,0.21,0.00,,3,,2,,,,1,,17,,,,,,1,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,53
154638,"Las Palmas, Spain","Canary Islands, Spain",Spain,28.11148,-14.38933,land,,2021-02-14,,8,,8,3.19,0.00,0.00,,,,1,,,,,4,6,,,2,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,87
154639,"Las Palmas, Spain","Canary Islands, Spain",Spain,28.11148,-14.38932,land,,2021-02-15,,3,,3,2.43,0.00,0.00,,,,,,,,3,8,3,,,1,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,68
