"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
149984,"Huizen, Netherlands","North Holland, Netherlands",Netherlands,52.30272,5.27302,land,,2021-01-09,"Rotary Huizen Schoon",3,,3,14.34,0.05,0.00,,4,,5,24,45,14,,7,52,,,,8,8,20,3,3,,,,,,,,,,5,,,,,,,,,,,,,,12,,,,,,,,,,,,,9,,,7,285
151042,"Terneuzen, Netherlands","Zeeland, Netherlands",Netherlands,51.30664,3.77283,land,,2021-01-23,Dyon,2,,2,21.55,0.02,0.00,,3,,,5,14,,3,1,,,,,2,,,1,3,1,,,,,1,,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,10,49
155901,"Terneuzen, Netherlands","Zeeland, Netherlands",Netherlands,51.30782,3.76691,land,,2021-03-02,Dyon,1,,1,2.48,0.39,0.00,,17,,,6,19,,,6,,,,,5,1,27,,1,1,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,91
162960,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.36394,4.86343,land,,2021-03-26,,2,,2,0.01,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162964,"Arnhem, Netherlands","Gelderland, Netherlands",Netherlands,51.97596,5.91233,land,,2021-03-26,"Oracle -EMEA",1,,1,0.01,0.71,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162966,"Arnhem, Netherlands","Gelderland, Netherlands",Netherlands,51.98297,5.90277,land,,2021-03-26,"Oracle -EMEA",2,,2,36.47,0.01,0.00,,16,,6,17,33,14,8,8,,,,5,28,17,48,7,5,10,,,,4,1,,,,,4,,11,,,,,,,,,,,31,,,,,,,,,,,,,,,,7,306
162967,"Lingewaard, Netherlands","Gelderland, Netherlands",Netherlands,51.9052,5.97445,land,,2021-03-26,"Oracle - EMEA",1,,1,2.49,0.00,0.00,,4,,,3,,,,,5,,,4,,10,4,,2,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,11,55
162979,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35786,4.85325,land,,2021-03-26,"Oracle -EMEA",2,,2,8.12,0.03,0.00,,6,,1,2,5,6,,,29,,,7,,6,15,6,,,,,,,,,,,,,,,,,,,7,,,,,,17,,,,,,,,,,,,,,,,7,137
162987,"Eindhoven, Netherlands","North Brabant, Netherlands",Netherlands,51.48022,5.47409,land,,2021-03-26,,1,,1,0.01,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163001,"Eindhoven, Netherlands","North Brabant, Netherlands",Netherlands,51.48017,5.4742,land,,2021-03-26,"Tuncay Family",1,,1,3.14,0.04,0.00,,11,,1,2,5,,,,67,,,5,,5,10,2,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,6,120
163019,"Utrecht, Netherlands","Utrecht, Netherlands",Netherlands,52.09723,5.0657,land,,2021-03-26,"Oracle - EMEA",2,,2,20.00,0.00,0.00,,10,,1,5,10,2,2,2,48,,,2,,2,23,4,2,2,,,,5,2,,,,1,1,,,,,,,3,,,,,,2,,,,,,,,,,,,,3,,,10,210
163076,"Eindhoven, Netherlands","North Brabant, Netherlands",Netherlands,51.48023,5.47401,land,,2021-03-26,,1,,1,7.66,0.03,0.00,,5,,1,2,3,,2,,71,,,6,,2,,,2,,,,,4,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,5,,,9,138
163342,"Arnhem, Netherlands","Gelderland, Netherlands",Netherlands,51.98788,5.90799,land,,2021-03-26,Oracle-EMEA,1,,1,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163355,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.366138458252,4.8808054924011,land,,2021-03-29,,1,,1,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163356,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.366172790527,4.8808126449585,land,,2021-03-29,#TeamOcean,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163426,"Utrecht, Netherlands","Utrecht, Netherlands",Netherlands,52.09274,5.06424,land,,2021-03-26,,2,,2,55.63,1.25,0.00,,10,,1,5,10,2,2,2,48,,,2,,2,23,4,2,2,,,,4,2,,,,1,1,,4,,,,,3,,,,,,2,,,,,,,,,,,,,3,,,1,208
171790,"De Friese Meren, Netherlands","Friesland, Netherlands",Netherlands,52.84261,5.70822,land,,2021-05-27,,1,,1,0.12,0.00,0.00,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
173037,"The Hague, Netherlands","South Holland, Netherlands",Netherlands,52.1024015,4.3021834,land,,2021-06-12,1,8,,8,45.00,0.00,0.00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173358,"The Hague, Netherlands","South Holland, Netherlands",Netherlands,52.11813,4.28688,land,,2021-06-12,,1,,1,68.40,1.69,0.00,,58,,9,7,3,1,10,6,112,,,4,4,3,45,2,9,3,,,,11,1,,,,3,1,,3,,,,,2,,,,,,5,,,,,,,,,,,,,6,,,,385
174434,"Katwijk aan Zee, Netherlands","South Holland, Netherlands",Netherlands,52.19661,4.38331,land,,2021-06-26,L1,5,,5,15.20,0.20,0.00,,5,,,,,2,,1,1,,,1,5,,3,2,3,,,,,4,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,20,77
176023,"Apeldoorn, Netherlands","Gelderland, Netherlands",Netherlands,52.25826,5.78344,land,,2021-07-14,"Equinix Community Cleanup",1,,1,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179736,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35739,4.9094,land,,2021-08-25,,2,,2,9.86,0.55,0.00,,,,,,,2,2,4,292,,,1,,3,4,1,3,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,36,398
179931,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.37422,4.9011,land,,2021-08-26,,2,,2,46.07,0.35,0.00,,,,,1,6,,1,4,414,,,2,,,1,2,2,7,,,,,2,,,,3,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,4,478
179985,"Vlieland, 8899 Oost-Vlieland, Netherlands","Friesland, Netherlands",Netherlands,53.3038644,5.0519935,land,,2021-08-26,,1,,1,15.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179988,"Vlieland, 8899 Oost-Vlieland, Netherlands","Friesland, Netherlands",Netherlands,53.30387,5.0519,land,,2021-08-26,,2,,2,3.42,0.02,0.00,,,,1,6,,1,,11,,,,8,,8,,,3,,,,,,,,,,,6,,,,,,,1,,,,,,6,,,,,,,,,,,,,5,,,5,63
180073,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.36608,4.83717,land,,2021-08-27,,1,,1,0.95,0.04,0.00,,,,,,1,,1,2,,,,1,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29
180074,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.36625,4.83774,land,,2021-08-27,,3,,3,2.00,0.15,0.00,,4,,,3,2,3,,4,,,,4,,,6,4,6,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,18,68
180075,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.36627,4.83765,land,,2021-08-27,,3,,3,1.59,0.11,0.00,,1,,1,6,2,,,,1,,,1,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,39
180259,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35181,4.92921,land,,2021-08-28,,2,,2,4.11,0.11,0.00,,3,,,1,1,1,7,,160,,,3,,,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,213
180660,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35643,4.90675,land,,2021-09-02,,2,,2,42.67,0.00,0.00,,9,,1,9,14,5,6,7,305,,,12,,,26,3,7,3,,,,14,,,,,3,7,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,234,877
180772,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.3574,4.90934,land,,2021-09-02,,2,,2,8.03,0.23,0.00,,5,,,,2,2,1,1,147,,,,,,7,,1,,,,,2,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,28,241
180774,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35787,4.90633,land,,2021-09-02,,2,,2,7.10,0.01,0.00,,1,,1,,2,1,1,,95,,,4,1,,9,3,2,,,,,1,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,20,186
180838,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.36651,4.83748,land,,2021-09-03,,3,,3,3.24,0.13,0.00,,4,,,3,5,,,,,,,3,,3,33,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,1,73
180839,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.36626,4.83749,land,,2021-09-03,,3,,3,2.35,0.06,0.00,,5,,1,4,3,,,1,,,,1,,2,29,3,1,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,6,65
180840,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.3663,4.8376,land,,2021-09-03,,3,,3,1.94,0.07,0.00,,5,,,4,5,,,,,,,2,2,2,15,5,,2,,,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,58
180916,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35736,4.90925,land,,2021-09-03,,2,,2,1.22,0.02,0.00,,5,,,,2,,,,2,,,1,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,1,27
180920,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35782,4.90933,land,,2021-09-03,,2,,2,4.51,0.34,0.00,,1,,1,1,6,,2,3,57,,,5,1,2,6,,,1,,,,2,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,3,109
181053,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35741,4.90941,land,,2021-09-04,,2,,2,4.79,0.52,0.00,,5,,3,1,16,,,2,9,,,4,1,2,4,,,,,,,1,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,21,,,2,87
181054,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35788,4.9169,land,,2021-09-04,,2,,2,0.86,0.15,0.00,,,,,3,17,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,29
181085,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.407306671143,4.9342184066772,land,,2021-09-04,Equinix,1,,1,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181293,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35741,4.90931,land,,2021-09-04,,2,,2,0.06,0.05,0.00,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3
181327,"Utrecht, Netherlands","Utrecht, Netherlands",Netherlands,52.08795,5.15219,land,,2021-09-08,"Equinix Community Cleanup",1,,1,2.81,0.15,0.00,,4,,2,5,9,,2,,8,,,3,,2,4,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,9,,,9,67
181441,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35739,4.90937,land,,2021-09-08,,2,,2,8.77,0.46,0.00,,2,,1,1,7,,1,2,133,,,3,,,12,1,2,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,34,259
181442,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35765,4.91009,land,,2021-09-08,,1,,1,0.16,0.04,0.00,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
181664,"Government of Amsterdam, Amsterdam, Netherlands","North Holland, Netherlands",Netherlands,52.35734,4.90927,land,,2021-09-09,,2,,2,5.28,0.37,0.00,,3,,,,4,,,1,27,,,2,,1,9,1,1,14,,,,,,,,,3,1,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,8,120
