"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
160719,"Brno-Country District, Czechia","South Moravian Region, Czechia",Czechia,49.27013,16.43761,land,,2021-03-04,"Oracle - EMEA",1,,1,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161610,"Brno-City District, Brno, Czechia","South Moravian Region, Czechia",Czechia,49.22016,16.49562,land,,2021-03-10,"Oracle - EMEA",1,,1,4.88,0.73,0.00,,3,,2,4,9,,,,,,,,4,2,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,56
162943,"Brno-Country District, Czechia","South Moravian Region, Czechia",Czechia,49.26872,16.44046,land,,2021-03-22,"Oracle - EMEA",1,,1,6.28,0.07,0.00,,9,,7,11,2,,2,1,,,,,,,4,,,1,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,4,,,14,65
162985,"Hlavní město Praha, Praha, Czechia","Prague, Czechia",Czechia,50.07143,14.41085,land,,2021-03-26,"Oracle - EMEA",1,,1,4.30,0.38,0.00,,15,,,,32,,5,5,25,,,,2,4,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,130
162986,"Hlavní město Praha, Praha, Czechia","Prague, Czechia",Czechia,50.04913,14.30173,land,,2021-03-26,"Oracle - EMEA",1,,1,14.93,5.07,0.00,,5,,6,11,18,3,8,7,22,,,5,5,10,18,6,4,7,,,,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,5,,,31,201
163024,"Hlavní město Praha, Praha, Czechia","Prague, Czechia",Czechia,50.08623,14.41367,land,,2021-03-26,"Oracle - EMEA",2,,2,4.00,0.03,0.00,,1,,,3,3,,,,40,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,57
171739,"Brno-Country District, Czechia","South Moravian Region, Czechia",Czechia,49.2700455,16.4378124,land,,2021-05-30,"Oracle - EMEA",2,,2,30.00,0.00,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173554,"Brno-Country District, Czechia","South Moravian Region, Czechia",Czechia,49.1812,16.39642,land,,2021-06-18,,2,,2,20.00,0.00,0.00,,,,,2,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,8
181923,"Jeseník District, Czechia","Olomouc Region, Czechia",Czechia,50.29917,17.05036,land,,2021-09-10,,1,,1,0.13,0.02,0.00,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5
181925,"Jeseník District, Czechia","Olomouc Region, Czechia",Czechia,50.29917,17.05036,land,,2021-09-10,LOVEEARTH2021,1,,1,0.14,0.01,0.00,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,6
